epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.6256,1.64572,3.07162,1.68059,0.5309,0.56627,0.49715,0.19126,1.81785,2.77656,1.47313,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,49.7656,1.52738,2.16096,1.58671,0.51367,0.5743,0.49495,0.22385,1.87034,2.15996,1.66494,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,73.3836,1.62424,1.89097,1.66925,0.52235,0.51406,0.49444,0.20732,1.85888,1.88954,1.662,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,95.5315,1.64169,1.76846,1.7251,0.55265,0.62019,0.5142,0.2622,1.74754,1.75436,1.57209,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,117.993,1.54347,1.6387,1.64034,0.6719,0.56225,0.59414,0.29617,1.75486,1.7031,1.49422,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,141.026,1.47163,1.54873,1.59462,0.71476,0.63401,0.62961,0.34372,1.63283,1.57267,1.42425,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,163.369,1.41637,1.4987,1.55198,0.71934,0.66907,0.64665,0.33114,1.65152,1.56245,1.48318,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,185.491,1.33175,1.39606,1.49649,0.77396,0.69478,0.69909,0.40309,1.48566,1.41008,1.35649,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,207.633,1.25551,1.28562,1.46127,0.78392,0.62249,0.68489,0.39887,1.49915,1.34343,1.36089,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,229.762,1.20129,1.21419,1.44973,0.88243,0.6988,0.74295,0.45649,1.35575,1.1882,1.28307,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,252.006,1.15134,1.14764,1.41271,0.90502,0.71084,0.7462,0.47399,1.36804,1.19181,1.2589,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,274.421,1.12687,1.10935,1.39894,0.79129,0.69478,0.72099,0.47179,1.34853,1.20766,1.25032,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,296.659,1.0924,1.07652,1.3748,0.88392,0.70338,0.75139,0.48167,1.31767,1.14139,1.25831,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,318.833,1.07884,1.0438,1.36319,0.86769,0.71486,0.74485,0.48631,1.29171,1.143,1.23008,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,340.697,1.05885,1.04443,1.35465,0.89507,0.70281,0.74913,0.50694,1.23774,1.0884,1.19362,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,362.32,1.04304,1.02855,1.34653,0.8686,0.71678,0.7541,0.51662,1.25764,1.04121,1.20692,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,383.887,1.03294,1.00336,1.33639,0.87268,0.71888,0.75357,0.5136,1.22156,1.1044,1.18798,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,405.471,1.01282,0.98103,1.32927,0.84739,0.7136,0.75056,0.50928,1.26969,1.11764,1.22884,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,427.246,0.99433,0.97398,1.31671,0.84627,0.73092,0.75652,0.50989,1.24055,1.0617,1.22748,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,448.843,0.98547,0.95521,1.30889,0.90225,0.70433,0.75181,0.50874,1.24725,1.09418,1.21889,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,470.679,0.9806,0.94903,1.30082,0.8506,0.72289,0.7596,0.52455,1.18508,1.07101,1.18949,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,492.298,0.96457,0.93296,1.29455,0.86761,0.71888,0.78124,0.54475,1.18847,1.02902,1.19146,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,514.278,0.96131,0.90819,1.2912,0.87068,0.73092,0.77982,0.54129,1.20231,1.02085,1.16855,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,536.399,0.96216,0.91045,1.28376,0.86159,0.70002,0.75888,0.5266,1.22062,0.98926,1.17065,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,558.68,0.9691,0.91727,1.2942,0.86907,0.69307,0.75305,0.52629,1.18553,1.05883,1.21134,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,581.693,0.93455,0.89641,1.26653,0.85847,0.7308,0.77891,0.54631,1.19305,1.0058,1.17974,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,603.703,0.92718,0.88322,1.2686,0.89726,0.69478,0.77055,0.54054,1.16152,1.00998,1.16596,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,625.662,0.92739,0.8749,1.25903,0.86228,0.71084,0.755,0.54867,1.15072,1.03006,1.17954,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,647.584,0.94623,0.87456,1.27007,0.86704,0.70711,0.76038,0.52388,1.16966,1.03529,1.16251,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,669.603,0.92835,0.87819,1.26263,0.87675,0.68564,0.77568,0.55118,1.15028,0.98891,1.14894,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,691.524,0.92507,0.86974,1.25996,0.86218,0.70281,0.7756,0.52877,1.17981,1.04046,1.16823,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,713.492,0.91108,0.84426,1.25096,0.87704,0.71613,0.78961,0.55152,1.13623,0.99741,1.15674,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,735.342,0.89974,0.84895,1.24474,0.86846,0.71591,0.76596,0.53866,1.14785,1.02688,1.14261,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
