epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.6601,1.27962,2.19095,1.27873,0.45916,0.55823,0.43141,0.20616,1.62903,2.78136,1.42237,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,73.6424,1.22407,1.57643,1.22496,0.48577,0.4739,0.40188,0.1869,1.70327,2.64822,1.52976,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,105.096,1.30996,1.48385,1.27088,0.59989,0.44177,0.44726,0.17447,1.90422,2.62342,1.66222,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,133.499,1.36941,1.43888,1.31501,0.55996,0.54217,0.4988,0.25176,1.68866,2.20018,1.49406,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,163.284,1.28314,1.32595,1.27886,0.61227,0.58635,0.56701,0.29063,1.62133,1.7773,1.42884,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,192.429,1.24959,1.26939,1.26889,0.76229,0.63454,0.64687,0.36151,1.50953,1.62428,1.34744,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,222.573,1.208,1.22073,1.24443,0.63052,0.58635,0.57862,0.30466,1.6683,1.61123,1.42666,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,253.866,1.17246,1.17214,1.22991,0.64322,0.63454,0.60982,0.33973,1.57123,1.5366,1.4173,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,285.754,1.15365,1.14609,1.22024,0.64594,0.64477,0.60135,0.37649,1.40783,1.45682,1.26683,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,316.488,1.12123,1.10788,1.20639,0.73106,0.71084,0.65852,0.39457,1.4284,1.40261,1.31366,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
