epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.9404,1.36308,2.42493,0.02428,0.73159,0.65679,0.68812,0.47143,1.35279,1.39856,0.02646,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,100.382,1.36277,1.36952,0.02282,0.70342,0.60241,0.65248,0.36903,1.65144,1.47304,0.02738,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,139.516,1.59124,1.33593,0.028,0.72418,0.61446,0.65269,0.32494,1.9459,1.57948,0.0363,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,178.023,1.74427,1.39676,0.03097,0.56497,0.63454,0.60127,0.32668,1.81521,1.54231,0.03442,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,216.338,1.67719,1.4085,0.02943,0.78069,0.61474,0.70388,0.39053,1.80053,1.34362,0.03131,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,254.798,1.60132,1.25801,0.0269,0.70288,0.69076,0.71554,0.41002,1.59433,1.42684,0.02812,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,293.707,1.49267,1.17704,0.02494,0.70395,0.65863,0.68167,0.39093,1.72101,1.39608,0.03026,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,332.134,1.48406,1.12192,0.02454,0.81792,0.70281,0.75669,0.46599,1.72225,1.29349,0.03104,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,370.136,1.42338,1.08679,0.02321,0.80967,0.69478,0.76516,0.47294,1.61461,1.14846,0.02981,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,408.563,1.39941,1.06856,0.02304,0.75917,0.751,0.78221,0.511,1.4709,1.11243,0.02589,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,447.083,1.3523,1.02954,0.02118,0.8276,0.69406,0.75199,0.47577,1.57232,1.12545,0.02754,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,485.429,1.31881,1.00668,0.02077,0.84447,0.74699,0.78707,0.50865,1.51721,1.15256,0.0279,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,524.231,1.29687,0.97527,0.02051,0.76049,0.69478,0.74024,0.49886,1.40557,1.16267,0.02358,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,562.411,1.26752,0.94344,0.0197,0.7961,0.72289,0.78675,0.52426,1.4237,1.06193,0.02459,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,600.866,1.25897,0.95302,0.01932,0.7695,0.68273,0.74564,0.46746,1.54945,1.21102,0.02638,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,639.461,1.27397,0.91728,0.01988,0.78624,0.71084,0.75697,0.50824,1.48552,1.10074,0.02508,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,677.935,1.22585,0.89956,0.01899,0.76862,0.70709,0.74157,0.49069,1.53792,1.08564,0.02404,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,716.447,1.21232,0.91064,0.01853,0.81792,0.73494,0.76407,0.498,1.47559,1.10868,0.02368,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,755.331,1.20433,0.884,0.01822,0.8137,0.74699,0.79055,0.55513,1.33261,1.14059,0.02289,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,793.734,1.19906,0.84634,0.01844,0.80522,0.73051,0.75916,0.52318,1.39275,1.0572,0.02287,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
