epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,57.2384,1.29361,1.60912,1.40409,0.68333,0.68675,0.66019,0.40289,1.47104,1.50296,1.22353,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,110.445,1.35357,1.38075,1.40004,0.56719,0.64257,0.52374,0.27851,1.8051,1.78327,1.43245,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,162.786,1.48601,1.45831,1.48956,0.68626,0.57101,0.58694,0.31078,1.94569,1.95206,1.67518,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,214.681,1.51862,1.44767,1.52137,0.63922,0.5743,0.57465,0.30382,1.91972,1.7528,1.56833,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,266.411,1.40723,1.33622,1.47521,0.69659,0.66265,0.62984,0.373,1.76339,1.5593,1.47741,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,318.278,1.30978,1.24482,1.40721,0.80415,0.6596,0.69534,0.42952,1.59454,1.41547,1.28536,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,370.24,1.26512,1.18371,1.37262,0.66929,0.6747,0.65052,0.41313,1.5523,1.39286,1.25874,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,422.076,1.19921,1.13967,1.3343,0.80471,0.6747,0.71936,0.45105,1.49021,1.31469,1.23562,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,473.97,1.1676,1.08002,1.31793,0.74723,0.67673,0.70151,0.43222,1.45268,1.28925,1.20222,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,525.821,1.12578,1.05324,1.30705,0.76652,0.67871,0.70796,0.45272,1.4447,1.34191,1.16875,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,577.759,1.09214,1.01449,1.27664,0.79232,0.72289,0.72455,0.46157,1.38363,1.25052,1.18779,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,629.643,1.085,0.9916,1.27176,0.8176,0.72007,0.72474,0.47225,1.38345,1.23798,1.16048,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,681.578,1.04826,0.96497,1.25452,0.8284,0.67068,0.74805,0.51272,1.31702,1.26081,1.15666,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,733.541,1.00784,0.92129,1.23312,0.82724,0.69232,0.73978,0.48395,1.31796,1.18521,1.13753,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,785.397,1.02153,0.92103,1.22833,0.72822,0.64659,0.69222,0.44761,1.32508,1.25105,1.14678,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,837.183,0.99049,0.89852,1.2209,0.84187,0.69478,0.77357,0.50041,1.31893,1.10531,1.12962,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,888.993,0.97527,0.87424,1.21825,0.82336,0.74297,0.76726,0.50277,1.32019,1.15237,1.14008,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,940.755,0.94451,0.86228,1.19801,0.82526,0.70281,0.76065,0.49255,1.29661,1.15286,1.13145,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,992.579,0.95448,0.86118,1.20293,0.83948,0.69311,0.77436,0.50476,1.27341,1.17671,1.133,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1044.49,0.93087,0.8433,1.18814,0.81646,0.68273,0.74126,0.52366,1.16328,1.10309,1.08528,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1096.31,0.9093,0.81596,1.17105,0.86311,0.70902,0.76676,0.53669,1.20131,1.08874,1.06794,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1148.22,0.9082,0.8093,1.17503,0.86922,0.67871,0.75211,0.51014,1.25771,1.14054,1.11103,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1200.07,0.88515,0.79111,1.15345,0.83881,0.6988,0.74888,0.5213,1.19755,1.11213,1.10144,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1251.85,0.87487,0.76946,1.15068,0.78317,0.751,0.75673,0.5266,1.16652,1.0358,1.04385,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1303.61,0.89004,0.77654,1.15956,0.82333,0.70281,0.75492,0.51996,1.24231,1.04507,1.11099,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1355.39,0.86728,0.77216,1.14213,0.80639,0.72691,0.75272,0.51505,1.22622,1.10209,1.08387,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1407.14,0.8517,0.75959,1.13792,0.79856,0.72289,0.71745,0.49224,1.17777,1.09292,1.11403,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1458.99,0.85578,0.7309,1.1376,0.78382,0.71486,0.74866,0.53908,1.18153,1.04498,1.0899,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1510.93,0.84721,0.73888,1.13038,0.79735,0.72289,0.74199,0.51744,1.21851,1.10749,1.09709,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1562.8,0.84177,0.72872,1.13086,0.85682,0.71888,0.76602,0.54283,1.22571,1.02652,1.08715,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1614.75,0.83357,0.70767,1.12047,0.80311,0.72289,0.76504,0.54044,1.19092,1.06193,1.08291,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1666.51,0.82007,0.7025,1.11754,0.78239,0.7364,0.75375,0.54283,1.12557,1.03568,1.06258,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1718.4,0.81445,0.68224,1.11314,0.82778,0.73092,0.77294,0.5404,1.19502,1.05756,1.08916,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1770.21,0.81036,0.68715,1.11389,0.79016,0.71486,0.75194,0.53175,1.15696,1.05747,1.0788,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1822.09,0.81366,0.68305,1.11111,0.83488,0.71084,0.75579,0.52988,1.16539,0.99975,1.0885,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1873.89,0.80094,0.67324,1.10401,0.79398,0.72691,0.74908,0.53329,1.16501,0.99448,1.11977,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1925.72,0.78974,0.66119,1.09578,0.8377,0.69478,0.76136,0.53066,1.12649,1.07436,1.08793,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1977.53,0.78757,0.66585,1.09535,0.82352,0.74699,0.76316,0.54383,1.0919,1.03209,1.05705,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2029.48,0.77301,0.65368,1.08754,0.86035,0.69076,0.73932,0.53706,1.13693,1.01615,1.07193,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2081.35,0.76879,0.64544,1.0833,0.87196,0.73494,0.78645,0.55852,1.16481,0.975,1.09088,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2133.23,0.78276,0.64651,1.0905,0.81898,0.73494,0.76948,0.54465,1.121,1.00286,1.05539,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2185.05,0.76341,0.62989,1.08274,0.85009,0.72876,0.75309,0.5363,1.13489,1.01839,1.05372,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2236.97,0.77141,0.63115,1.0835,0.88636,0.70281,0.7771,0.54934,1.15517,1.02239,1.1015,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2288.77,0.77134,0.62929,1.08566,0.8736,0.73494,0.78752,0.55656,1.15744,0.96992,1.07196,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2340.59,0.76448,0.62046,1.07503,0.8191,0.72738,0.77142,0.55257,1.15833,0.9939,1.09166,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2392.4,0.76429,0.61148,1.08086,0.81603,0.73035,0.75107,0.53184,1.19394,1.03067,1.1031,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2444.24,0.75469,0.59621,1.07167,0.83312,0.71084,0.74631,0.55425,1.09033,1.01226,1.04405,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2495.99,0.74786,0.60758,1.06512,0.85786,0.70289,0.77121,0.57645,1.06964,1.05618,1.03921,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2547.9,0.73249,0.59866,1.0593,0.79332,0.70281,0.71618,0.53381,1.11656,1.02487,1.06534,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2599.75,0.74466,0.5979,1.0674,0.80807,0.75502,0.77886,0.54536,1.153,0.97536,1.05785,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2651.61,0.73583,0.59716,1.06313,0.81004,0.72691,0.74445,0.52822,1.14831,0.99141,1.06118,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2703.44,0.72457,0.58304,1.05164,0.80345,0.72289,0.74816,0.54632,1.10569,1.01271,1.05793,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2755.18,0.72775,0.59099,1.05829,0.88144,0.73494,0.77761,0.57455,1.11014,1.02347,1.07295,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2806.98,0.70606,0.56831,1.0419,0.84926,0.73494,0.76955,0.56055,1.12126,0.97611,1.08272,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2858.75,0.71511,0.56781,1.04812,0.83858,0.72691,0.75352,0.55941,1.10529,0.98232,1.05701,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2911,0.71951,0.56941,1.05402,0.80422,0.72289,0.73522,0.54018,1.1552,1.01312,1.09899,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2962.76,0.7095,0.5544,1.05083,0.80629,0.71084,0.72709,0.53599,1.11268,1.04348,1.09222,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3014.69,0.70071,0.54663,1.04408,0.83027,0.72688,0.76345,0.56161,1.0646,0.97218,1.04895,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3066.49,0.70508,0.53761,1.04351,0.81929,0.7283,0.75681,0.56064,1.07429,1.02946,1.01837,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3118.23,0.69124,0.53665,1.03114,0.82142,0.70196,0.73941,0.55348,1.10333,1.01487,1.03202,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3169.99,0.69232,0.53708,1.02862,0.81538,0.71084,0.72319,0.53422,1.07979,0.97844,1.03264,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3221.82,0.6917,0.53642,1.02642,0.81885,0.73092,0.75743,0.55435,1.10743,0.99577,1.04152,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3273.63,0.69102,0.53358,1.03077,0.83417,0.74297,0.75658,0.55106,1.10464,0.98593,1.0519,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3325.52,0.68088,0.53267,1.02807,0.82331,0.74699,0.7508,0.55404,1.06747,1.00988,1.05624,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3377.31,0.68488,0.52662,1.02727,0.84308,0.73364,0.74305,0.54136,1.12977,1.02453,1.06975,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3429.17,0.67984,0.52432,1.02161,0.85781,0.73896,0.75768,0.55287,1.10796,0.95087,1.07771,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
