epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.6803,1.60867,2.94049,1.57474,0.69891,0.44748,0.52968,0.2744,1.74573,2.67694,1.35976,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,48.1501,1.60204,2.13483,1.56135,0.46102,0.55422,0.45773,0.20432,1.95508,2.36088,1.56415,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,67.2022,1.71939,1.86676,1.642,0.55259,0.53074,0.49034,0.21937,2.02064,2.06137,1.69634,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,85.8753,1.73867,1.76186,1.69348,0.62368,0.59036,0.5627,0.25873,2.00496,1.79848,1.60678,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,104.473,1.63642,1.59409,1.62169,0.65427,0.63842,0.5895,0.29949,1.87381,1.62881,1.43211,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,123.064,1.57217,1.5317,1.58639,0.66235,0.62249,0.59437,0.31393,1.83025,1.61199,1.45028,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,141.966,1.52318,1.48995,1.54126,0.71552,0.67068,0.63047,0.34724,1.8211,1.5688,1.50933,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,160.858,1.4628,1.4158,1.50746,0.66291,0.66342,0.64314,0.35115,1.82856,1.53262,1.48846,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,179.565,1.42936,1.38237,1.48184,0.64495,0.6747,0.65343,0.35721,1.79652,1.50266,1.46588,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,198.231,1.39292,1.3477,1.47249,0.74633,0.68533,0.66704,0.38577,1.61696,1.50313,1.36833,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,216.828,1.3549,1.30645,1.43958,0.74135,0.69064,0.67691,0.39383,1.65131,1.53886,1.35462,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,236.126,1.337,1.29863,1.43315,0.75699,0.69478,0.67949,0.41609,1.64076,1.42103,1.40484,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,254.974,1.3239,1.25379,1.42018,0.73237,0.68273,0.67662,0.39756,1.61864,1.43806,1.36048,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,273.884,1.28965,1.22139,1.39779,0.73819,0.68675,0.68651,0.40691,1.54384,1.36488,1.31322,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,292.738,1.26565,1.19413,1.38388,0.78002,0.6978,0.70097,0.39824,1.58892,1.31326,1.32686,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,311.435,1.2146,1.14362,1.3752,0.80687,0.73896,0.75836,0.47226,1.48161,1.16237,1.27869,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,330.366,1.16751,1.08345,1.35382,0.86785,0.71209,0.74871,0.46314,1.51304,1.18263,1.28701,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
