epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.6421,1.73669,2.9358,1.65727,0.60315,0.5743,0.51646,0.20944,1.79171,2.62861,1.38181,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,51.0271,1.7142,2.17906,1.63504,0.44371,0.54217,0.42782,0.18247,2.13247,2.35425,1.6178,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,69.8801,1.84165,1.96996,1.7326,0.42589,0.48996,0.38521,0.15466,2.1642,2.09522,1.66716,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,88.8842,1.89354,1.8914,1.79871,0.55685,0.53815,0.4838,0.20582,2.05784,1.84777,1.57973,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,107.496,1.81307,1.77543,1.73066,0.5348,0.58233,0.49274,0.21482,1.9763,1.896,1.53574,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,125.925,1.73321,1.6977,1.69281,0.50144,0.63454,0.50243,0.22183,1.92355,1.78921,1.56153,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,144.384,1.68484,1.64946,1.64129,0.46899,0.6506,0.50815,0.24218,1.98543,1.75738,1.60014,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,163.224,1.6481,1.61436,1.61572,0.53953,0.61044,0.55187,0.25967,1.79684,1.71274,1.41012,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,182.328,1.60287,1.55507,1.57762,0.57513,0.66265,0.55774,0.26656,1.92336,1.63745,1.45671,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,201.268,1.58385,1.53774,1.58117,0.58958,0.63461,0.56921,0.28034,1.87032,1.61511,1.40568,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,220.58,1.55252,1.52046,1.55378,0.51316,0.6519,0.55724,0.28064,1.80619,1.65403,1.42948,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,240.053,1.53936,1.50544,1.53834,0.58803,0.60241,0.59313,0.29236,1.90904,1.65172,1.47624,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,259.052,1.53116,1.49012,1.52835,0.6334,0.61044,0.602,0.29899,1.97124,1.65398,1.49155,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
