epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.5921,1.35767,2.18141,1.32088,0.51076,0.49893,0.42775,0.19836,1.57174,2.75774,1.39457,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,61.6837,1.25282,1.5691,1.23208,0.41776,0.51292,0.43911,0.20573,1.72624,2.31784,1.58999,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,88.3554,1.3004,1.48592,1.26879,0.61587,0.61814,0.56793,0.25976,1.69156,1.8548,1.46018,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,114.649,1.35651,1.42614,1.31633,0.62508,0.61601,0.57368,0.28781,1.6263,1.73459,1.44999,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,140.855,1.29536,1.32225,1.28851,0.55935,0.58233,0.54001,0.26715,1.66157,1.76808,1.4309,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,166.935,1.25273,1.26648,1.27565,0.68564,0.58635,0.63977,0.36325,1.53462,1.58845,1.42178,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,193.141,1.20738,1.21427,1.25273,0.59834,0.61847,0.60662,0.329,1.54704,1.57722,1.37626,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,219.238,1.18023,1.18546,1.23783,0.67626,0.63759,0.64964,0.35455,1.54893,1.54622,1.41505,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,245.419,1.16372,1.15552,1.22918,0.69294,0.70692,0.68642,0.40455,1.40036,1.38698,1.30429,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,271.613,1.12172,1.1108,1.20922,0.74976,0.69478,0.70235,0.4003,1.35873,1.33967,1.2301,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,297.873,1.10467,1.07737,1.19068,0.81785,0.72128,0.75848,0.45559,1.36239,1.24971,1.26356,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,324.183,1.09971,1.07725,1.19624,0.77311,0.6506,0.71038,0.44187,1.37736,1.41954,1.24936,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,350.375,1.09035,1.04806,1.18658,0.80196,0.71084,0.7367,0.45901,1.30278,1.26771,1.24709,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,376.519,1.07242,1.04351,1.18578,0.81934,0.70281,0.7385,0.47893,1.29916,1.25232,1.20787,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,402.777,1.05729,1.01471,1.17672,0.79256,0.69049,0.71485,0.46424,1.27435,1.23845,1.2368,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,428.914,1.05343,1.00623,1.18169,0.78436,0.71084,0.74437,0.47606,1.24498,1.26048,1.16814,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,455.042,1.0317,0.98986,1.16357,0.84031,0.69739,0.73236,0.48562,1.28235,1.20317,1.25811,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,481.221,1.03641,0.99087,1.16948,0.76468,0.73896,0.75652,0.51394,1.20479,1.1877,1.13915,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,507.522,1.02522,0.97638,1.1649,0.79813,0.73041,0.76644,0.52234,1.20117,1.135,1.13497,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,533.766,1.01669,0.96708,1.1548,0.82799,0.6988,0.7677,0.52246,1.19451,1.18741,1.16099,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,559.896,1.0128,0.93643,1.15117,0.82034,0.71888,0.77092,0.52135,1.18188,1.12869,1.13991,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,586.054,1,0.95214,1.1472,0.79933,0.73092,0.778,0.50068,1.21647,1.17517,1.13969,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,612.301,0.9901,0.92333,1.14517,0.83895,0.73896,0.76462,0.5215,1.15567,1.13929,1.16173,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,638.575,0.98766,0.92863,1.14846,0.75897,0.70281,0.75635,0.49694,1.17447,1.17245,1.12451,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,664.792,0.96336,0.90555,1.13426,0.75446,0.6787,0.72379,0.48525,1.24131,1.26178,1.20235,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,690.952,0.96005,0.89344,1.12398,0.85906,0.70991,0.76149,0.5103,1.18898,1.14265,1.12503,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,717.085,0.96499,0.8939,1.12819,0.84709,0.69478,0.78029,0.55344,1.11575,1.04641,1.0971,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,743.285,0.95718,0.89333,1.12292,0.86144,0.72691,0.77699,0.52999,1.1719,1.1792,1.14631,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,769.375,0.9499,0.86589,1.11582,0.81222,0.72959,0.77134,0.54297,1.0856,1.06818,1.10587,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,795.41,0.95326,0.8765,1.11771,0.81449,0.70531,0.76305,0.55253,1.12804,1.11401,1.17219,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,821.648,0.93223,0.86979,1.11611,0.87123,0.72289,0.79776,0.56635,1.05335,1.03966,1.08108,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,847.898,0.94886,0.8772,1.12255,0.81414,0.75502,0.79915,0.56867,1.13719,1.08922,1.14699,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,874.019,0.94555,0.85761,1.12436,0.88884,0.65462,0.78065,0.54844,1.13552,1.11943,1.10849,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,900.311,0.93171,0.86034,1.1111,0.81586,0.6747,0.75634,0.54056,1.12924,1.13666,1.12058,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,926.525,0.93757,0.86585,1.11383,0.86903,0.71948,0.80727,0.57143,1.08915,1.04762,1.09243,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,952.753,0.93055,0.84803,1.10446,0.78578,0.68675,0.75341,0.52573,1.09059,1.13424,1.0786,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,978.873,0.91857,0.83289,1.10798,0.83206,0.71632,0.78457,0.56036,1.12615,1.08223,1.11114,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1005.01,0.92748,0.85307,1.10634,0.83159,0.70683,0.77722,0.55602,1.06896,1.10301,1.11455,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1031.23,0.92599,0.8357,1.10258,0.80015,0.72356,0.75145,0.54057,1.13568,1.08896,1.09309,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1057.37,0.92068,0.83314,1.10049,0.82128,0.72289,0.77605,0.54985,1.14267,1.09343,1.10156,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1083.55,0.91347,0.84109,1.10923,0.87294,0.68977,0.78584,0.56609,1.037,1.05437,1.06158,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1109.71,0.92429,0.83452,1.10313,0.80238,0.73379,0.77938,0.56274,1.08009,1.07939,1.07078,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1136.44,0.9036,0.82491,1.0945,0.85879,0.70828,0.78606,0.57191,1.03496,1.02108,1.04138,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1162.77,0.91012,0.81364,1.09857,0.84725,0.73507,0.78756,0.56631,1.05876,1.07562,1.05814,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1189.07,0.91887,0.82556,1.10527,0.8559,0.74699,0.80728,0.5745,1.07548,1.00879,1.06053,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
