epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.0097,1.49077,2.58883,1.49398,0.71604,0.638,0.62731,0.3178,1.65871,2.25933,1.3361,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,58.8685,1.51724,1.75235,1.49482,0.64371,0.55869,0.57476,0.29279,1.8003,1.84452,1.4722,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,78.0847,1.63872,1.63483,1.58881,0.59943,0.57831,0.53692,0.2501,1.96121,2.25413,1.65619,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,96.8597,1.66546,1.58813,1.64237,0.68135,0.61446,0.61877,0.3386,1.94355,1.77307,1.59858,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,115.403,1.55534,1.45367,1.56742,0.75349,0.65062,0.64566,0.34351,1.84603,1.58108,1.47205,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,134.25,1.45208,1.38581,1.51293,0.74203,0.69312,0.68733,0.3856,1.63738,1.6196,1.34738,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,152.85,1.38767,1.31183,1.46604,0.78388,0.67006,0.66724,0.37307,1.6847,1.46268,1.38029,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,171.243,1.3325,1.2772,1.4264,0.77458,0.6486,0.66983,0.41379,1.60231,1.37097,1.31157,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,189.668,1.29746,1.21773,1.40065,0.71199,0.70683,0.66296,0.40961,1.57382,1.3305,1.31377,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,208.13,1.25675,1.19084,1.39611,0.7717,0.70281,0.69849,0.43665,1.51535,1.32443,1.30141,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,226.781,1.21194,1.15707,1.36165,0.82007,0.71386,0.7068,0.44534,1.49655,1.2681,1.25269,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,245.422,1.19727,1.1181,1.35206,0.73349,0.7074,0.70046,0.45452,1.51749,1.30565,1.26931,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,263.886,1.16401,1.08739,1.3342,0.78731,0.71084,0.70952,0.46006,1.42048,1.34503,1.23687,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,282.265,1.1365,1.07187,1.3113,0.75628,0.67871,0.69052,0.46186,1.46592,1.27215,1.26908,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,300.719,1.15206,1.05131,1.31079,0.76542,0.6988,0.71167,0.4486,1.3998,1.29026,1.21695,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,319.012,1.1159,1.02818,1.30171,0.84004,0.63272,0.6934,0.44502,1.41404,1.21747,1.23167,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,337.433,1.10823,1.0203,1.2981,0.78366,0.71282,0.71225,0.45831,1.45031,1.22272,1.25678,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,355.897,1.07803,1.01673,1.2886,0.76223,0.69522,0.72807,0.48488,1.39226,1.23834,1.19954,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,374.34,1.0726,1.00368,1.28214,0.81046,0.72125,0.71461,0.47011,1.41602,1.21719,1.23019,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,392.787,1.06756,0.98472,1.27707,0.73812,0.71888,0.71435,0.48742,1.38133,1.23083,1.17933,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,411.466,1.05535,0.97185,1.25755,0.77717,0.71888,0.73872,0.50973,1.37529,1.18017,1.21538,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,429.98,1.04742,0.96554,1.2627,0.78481,0.71888,0.71404,0.46817,1.36222,1.25975,1.17702,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,448.342,1.02261,0.92792,1.24412,0.80529,0.71422,0.71481,0.4779,1.31434,1.19866,1.18551,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
