epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,131.819,1.07529,1.39915,1.24858,0.7863,0.66265,0.70263,0.45914,1.22835,1.27796,1.10274,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,249.099,1.09757,1.08465,1.21904,0.42186,0.58635,0.44298,0.22727,1.53528,2.03003,1.40688,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,358.996,1.23604,1.27365,1.29754,0.64961,0.56627,0.57816,0.28269,1.54259,3.2767,1.51346,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,466.688,1.28257,1.32056,1.33428,0.62593,0.59839,0.56213,0.30768,1.57158,2.40112,1.45336,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,574.238,1.22285,1.24879,1.31093,0.64696,0.61446,0.59582,0.33136,1.50029,1.74393,1.38771,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,682.556,1.18164,1.18807,1.29159,0.67101,0.66667,0.6078,0.36902,1.41977,1.44167,1.28331,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,790.765,1.14477,1.12453,1.26954,0.60834,0.65863,0.60278,0.36417,1.39511,1.45936,1.2019,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,898.437,1.11235,1.09542,1.25367,0.57329,0.65827,0.58616,0.37557,1.30685,1.49868,1.22039,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1006.01,1.09271,1.06374,1.24428,0.74715,0.70281,0.65168,0.42699,1.23476,1.47595,1.20903,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1114.28,1.05465,1.00446,1.22415,0.72095,0.6952,0.68112,0.4585,1.26424,1.33084,1.18135,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1222.37,1.02101,0.98459,1.20456,0.79203,0.68829,0.70668,0.46701,1.21753,1.26355,1.13459,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1330.97,1.02005,0.98821,1.20698,0.73727,0.72289,0.68904,0.46981,1.16078,1.22252,1.09422,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1439.51,1.01089,0.94707,1.19755,0.75893,0.72289,0.71932,0.49577,1.15762,1.16135,1.06491,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1548.86,0.99614,0.94638,1.19102,0.80548,0.71888,0.73295,0.51875,1.07981,1.08403,1.08012,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1657.88,0.98036,0.91482,1.18217,0.77909,0.69403,0.71352,0.48816,1.14917,1.19461,1.13656,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1765.66,0.97347,0.90853,1.18529,0.70228,0.67261,0.67132,0.45348,1.15519,1.16071,1.10449,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1873.34,0.95895,0.90315,1.1699,0.83692,0.76258,0.77435,0.5378,1.09254,1.06894,1.10185,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1982.5,0.95968,0.90075,1.17021,0.81987,0.71888,0.76669,0.54518,1.0743,1.01827,1.08433,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2091.72,0.9443,0.87594,1.16629,0.85665,0.73494,0.77484,0.55905,1.06815,1.04181,1.07273,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2200.3,0.94402,0.86436,1.16572,0.80052,0.76305,0.77173,0.56787,1.04983,1.04568,1.0559,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2308.95,0.9362,0.84402,1.15606,0.77558,0.76338,0.75737,0.54488,1.04092,1.06658,1.02342,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2417.3,0.92555,0.84247,1.15536,0.82723,0.71149,0.76686,0.53433,1.10114,1.06114,1.06575,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2525.65,0.90717,0.82915,1.1439,0.85349,0.72289,0.77627,0.57397,0.99579,1.01708,1.034,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2634.38,0.917,0.83359,1.15795,0.85024,0.75244,0.76973,0.54206,0.9534,0.99331,0.99438,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2742.2,0.88395,0.7981,1.13228,0.84988,0.72757,0.77019,0.53273,1.08647,1.06045,1.1094,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2850.76,0.88904,0.79629,1.13375,0.80142,0.77108,0.76304,0.55251,1.02893,1.02439,1.05188,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2959.1,0.87729,0.7946,1.13023,0.78911,0.74297,0.7713,0.56447,0.94883,0.93408,1.01106,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3066.7,0.87683,0.79329,1.11864,0.77797,0.75904,0.77318,0.5646,1.0221,0.95067,1.05198,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3174.52,0.86841,0.76306,1.11621,0.8133,0.75904,0.77876,0.56699,1.02563,0.97983,1.06803,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3282.91,0.8747,0.77299,1.11991,0.7702,0.75502,0.75444,0.551,1.0377,0.97919,1.05718,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3391.16,0.85719,0.7637,1.11867,0.83265,0.74699,0.79311,0.58478,1.00143,0.95815,1.02803,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
