epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.5844,1.74619,2.90655,1.65309,0.64183,0.52536,0.53622,0.22748,1.89374,2.64256,1.42637,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,46.1338,1.61954,2.13534,1.57416,0.61742,0.57028,0.56775,0.26905,1.89824,1.98781,1.4991,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,64.7649,1.74146,1.88685,1.67405,0.56699,0.50602,0.48657,0.20941,2.2166,1.95052,1.72764,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,82.54,1.76188,1.75601,1.70611,0.58257,0.61847,0.55931,0.25796,1.96296,1.76535,1.57585,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,100.711,1.65597,1.64371,1.64342,0.66998,0.60241,0.63882,0.33461,1.85051,1.6795,1.49872,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,119.275,1.58541,1.558,1.60127,0.68559,0.61847,0.62919,0.32986,1.74289,1.61527,1.38809,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,136.5,1.52108,1.47316,1.5437,0.73746,0.67871,0.66865,0.34914,1.82167,1.53543,1.46589,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,154.008,1.4745,1.44489,1.52444,0.7393,0.65863,0.65484,0.37178,1.75035,1.47369,1.39794,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,172.019,1.42377,1.40595,1.48608,0.69689,0.62651,0.63616,0.34867,1.72491,1.52461,1.39548,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,189.431,1.38319,1.36745,1.47463,0.79719,0.65462,0.68818,0.40387,1.66076,1.42797,1.31533,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,207.99,1.35612,1.33374,1.44377,0.78968,0.68273,0.70869,0.41799,1.53632,1.41603,1.29139,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,225.603,1.33606,1.30548,1.43549,0.73433,0.67871,0.67908,0.38176,1.6246,1.40032,1.34879,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,242.676,1.31015,1.27471,1.41758,0.75602,0.67068,0.69938,0.42822,1.5534,1.41244,1.3593,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,260.009,1.28937,1.25541,1.40055,0.79005,0.66494,0.70063,0.42684,1.50931,1.32971,1.26042,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,276.966,1.2822,1.24833,1.39684,0.8124,0.67068,0.72477,0.42702,1.55552,1.36156,1.2836,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,294.172,1.27529,1.21985,1.39443,0.79846,0.68418,0.72446,0.43869,1.55616,1.3208,1.2909,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,312.751,1.244,1.2109,1.37933,0.72439,0.69478,0.69579,0.42727,1.48575,1.31651,1.25364,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,330.541,1.21723,1.18874,1.37566,0.80516,0.68045,0.73904,0.45871,1.46183,1.27166,1.28617,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,347.551,1.22275,1.17909,1.36863,0.80752,0.70766,0.73159,0.45303,1.48413,1.29434,1.27618,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
