epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2694.02,0.78697,0.66591,1.10039,0.80249,0.76305,0.76641,0.57861,1.05767,0.92211,1.02167,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2777.78,0.79238,0.65374,1.10977,0.86426,0.73092,0.78798,0.58205,1.10391,0.91436,1.02544,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2861.51,0.79195,0.6497,1.10461,0.85081,0.74297,0.77908,0.57621,1.07111,0.89151,1.01847,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2945.29,0.78449,0.65298,1.09572,0.84019,0.76013,0.80881,0.58141,1.0993,0.94384,1.02467,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3028.97,0.77124,0.62648,1.0942,0.83224,0.74699,0.79008,0.5672,1.10868,0.90748,1.01835,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3112.7,0.76623,0.62111,1.09095,0.81398,0.77324,0.78338,0.5729,1.09827,0.92664,1.0245,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3196.4,0.75646,0.62608,1.08091,0.82524,0.75502,0.77437,0.57308,1.06473,0.92765,0.99962,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3280.19,0.76217,0.62278,1.08558,0.82088,0.75502,0.77687,0.58493,1.06933,0.92929,0.99941,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3363.93,0.74756,0.61201,1.07517,0.83271,0.73967,0.77819,0.58303,1.07209,0.92792,1.05824,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3447.63,0.74831,0.61032,1.07318,0.8546,0.73175,0.78049,0.58856,1.04888,0.9122,0.98228,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3531.5,0.74037,0.60668,1.07079,0.82114,0.7751,0.77641,0.56699,1.10004,0.95419,1.027,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3615.3,0.74803,0.59677,1.06772,0.84594,0.72289,0.78072,0.57541,1.10277,0.95647,1.02604,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3698.82,0.73535,0.59272,1.07003,0.81722,0.79005,0.77518,0.59142,1.0381,0.84851,1.00593,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3782.7,0.73718,0.57817,1.05973,0.85524,0.751,0.78338,0.58483,1.032,0.89592,1.00567,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3866.68,0.73706,0.57565,1.06695,0.79214,0.74699,0.7574,0.55722,1.06742,0.95672,1.0375,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3950.65,0.71791,0.56547,1.05331,0.79709,0.74297,0.758,0.54859,1.09128,0.93267,1.03714,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4034.32,0.71873,0.5668,1.04926,0.82339,0.74895,0.76738,0.58408,1.01784,0.91379,0.98573,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4118.02,0.72114,0.57504,1.05666,0.85425,0.7297,0.75943,0.56487,1.07773,0.95839,1.0656,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4201.73,0.70873,0.56662,1.05,0.82867,0.79643,0.79101,0.57752,1.07975,0.90994,1.08271,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4285.56,0.7023,0.55628,1.05138,0.79842,0.78715,0.77122,0.56816,1.01048,0.87333,1.0148,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4369.12,0.70971,0.54831,1.0491,0.85669,0.72025,0.76732,0.58505,1.0598,0.87566,1.03074,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
