epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.5364,1.29143,6.00966,0.02256,0.60008,0.52209,0.52754,0.34135,1.37041,3.22837,0.02154,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,76.545,1.37174,2.16661,0.02244,0.60618,0.60581,0.59764,0.3298,1.68303,2.03056,0.02969,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,102.673,1.60706,1.73069,0.02722,0.63669,0.59839,0.58744,0.28935,1.98083,1.75344,0.03566,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,127.561,1.73782,1.64545,0.03016,0.68297,0.61426,0.63281,0.3147,1.90787,1.61077,0.03157,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,152.531,1.6921,1.50972,0.02879,0.71637,0.6506,0.64273,0.35591,1.83834,1.6654,0.03607,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,177.478,1.6308,1.41508,0.02725,0.81335,0.71753,0.69492,0.39687,1.72082,1.36835,0.02851,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,202.735,1.5716,1.31193,0.02528,0.80453,0.67068,0.70917,0.37175,1.92557,1.38223,0.03168,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,227.982,1.504,1.25211,0.02441,0.78862,0.67424,0.71204,0.42683,1.71141,1.30695,0.03019,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,252.919,1.44922,1.16627,0.02328,0.73061,0.6971,0.70437,0.38812,1.80896,1.35778,0.03342,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,277.809,1.44205,1.17864,0.02372,0.80871,0.69611,0.73269,0.45301,1.6029,1.27887,0.02788,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,302.852,1.40825,1.14079,0.02216,0.81968,0.69375,0.72762,0.44325,1.71535,1.26964,0.03097,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,327.596,1.39605,1.15139,0.0221,0.71831,0.68675,0.69171,0.43117,1.61533,1.34261,0.02693,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,352.657,1.35934,1.11039,0.02128,0.85629,0.68273,0.73942,0.45855,1.56582,1.24073,0.0267,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,377.341,1.33424,1.04218,0.02063,0.83617,0.73896,0.77161,0.51054,1.46356,1.08769,0.02443,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,402.259,1.33447,1.03917,0.02043,0.7455,0.67871,0.71363,0.45737,1.51438,1.30933,0.02715,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,427.231,1.34172,1.03189,0.02072,0.84353,0.67068,0.74785,0.50045,1.46166,1.20549,0.02464,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,451.982,1.31433,1.03726,0.02029,0.77979,0.72691,0.72223,0.45533,1.6492,1.26381,0.02998,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,476.929,1.27048,0.99082,0.01996,0.86032,0.69262,0.77101,0.51408,1.4371,1.14734,0.0245,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,502.037,1.25869,0.97847,0.0193,0.81264,0.71417,0.74033,0.43601,1.68847,1.13513,0.02573,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,526.868,1.25366,0.96928,0.01931,0.75286,0.71888,0.72905,0.50334,1.42372,1.20618,0.02675,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,551.462,1.25929,0.98224,0.01939,0.73528,0.61847,0.70886,0.45274,1.51938,1.30868,0.02508,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,576.195,1.23823,0.9496,0.01919,0.81688,0.72289,0.7461,0.49389,1.48648,1.10818,0.02449,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,601.186,1.22058,0.92158,0.01892,0.7922,0.70281,0.74744,0.5,1.44203,1.19172,0.02414,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,626.068,1.22768,0.91449,0.01851,0.80905,0.68066,0.73177,0.49873,1.42547,1.1716,0.02182,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,650.976,1.2323,0.91606,0.01878,0.7805,0.70281,0.72364,0.47648,1.44687,1.20089,0.02408,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,675.694,1.20222,0.90528,0.01847,0.84689,0.6988,0.76686,0.50962,1.46448,1.12613,0.02469,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,700.694,1.18262,0.85581,0.01788,0.773,0.72289,0.7278,0.51486,1.40204,1.19828,0.02397,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,725.492,1.17629,0.87277,0.01746,0.82017,0.74699,0.76679,0.54022,1.41759,1.0597,0.02296,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,750.262,1.16754,0.8656,0.01735,0.83674,0.67871,0.76505,0.53937,1.4024,1.02273,0.02353,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,774.99,1.18628,0.86779,0.01757,0.81254,0.71486,0.74724,0.50953,1.43019,1.12343,0.02303,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,800.033,1.15746,0.86501,0.01701,0.82703,0.71486,0.76517,0.54539,1.31139,1.11162,0.0212,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,824.735,1.13537,0.82275,0.01697,0.79436,0.75502,0.76807,0.53267,1.3476,1.11743,0.02151,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,849.524,1.12828,0.82941,0.01678,0.8175,0.71486,0.74257,0.52143,1.35682,1.18288,0.02187,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,874.367,1.12973,0.8041,0.01692,0.79618,0.73494,0.74076,0.53116,1.33208,1.22585,0.02142,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,899.286,1.13103,0.8118,0.0168,0.85005,0.69478,0.76745,0.53994,1.39504,1.09308,0.02335,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,924.064,1.11922,0.79412,0.01674,0.81417,0.73092,0.76737,0.56071,1.28156,1.06309,0.02172,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,949.042,1.1148,0.77412,0.01638,0.819,0.74297,0.7624,0.53302,1.30633,1.15047,0.02107,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,974.187,1.12143,0.77523,0.01646,0.80802,0.70683,0.752,0.51867,1.39337,1.08533,0.02546,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,999.394,1.11003,0.78006,0.01628,0.84612,0.68455,0.76396,0.53713,1.33914,1.11021,0.02191,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1024.12,1.09783,0.75655,0.01614,0.88316,0.70683,0.76857,0.56287,1.28804,1.0743,0.02115,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1048.86,1.07157,0.74255,0.01583,0.89045,0.751,0.78573,0.58068,1.2302,1.05037,0.02001,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1073.56,1.11465,0.75877,0.01642,0.83394,0.6988,0.76224,0.52748,1.4019,1.0237,0.02335,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1098.69,1.07666,0.72495,0.01573,0.84127,0.74699,0.77711,0.5627,1.35965,1.02408,0.0214,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1123.61,1.07057,0.71606,0.01603,0.83968,0.72289,0.77042,0.57213,1.27071,1.03009,0.0205,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1148.37,1.06579,0.71541,0.01542,0.85856,0.69478,0.78025,0.57189,1.30566,0.99666,0.02263,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1173.1,1.08189,0.72956,0.01579,0.87482,0.70167,0.76736,0.57001,1.30114,1.0171,0.02133,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1197.95,1.07084,0.70263,0.01565,0.84321,0.71272,0.7636,0.56559,1.23863,1.04051,0.02012,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,1222.7,1.06132,0.71161,0.01528,0.84716,0.69005,0.75921,0.5482,1.35034,1.12338,0.02148,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,1247.73,1.06431,0.71941,0.01531,0.81896,0.70852,0.75762,0.55499,1.29105,0.94883,0.02118,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,1272.63,1.05972,0.69215,0.01502,0.88817,0.73361,0.75796,0.5676,1.24507,0.99796,0.01939,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,1297.36,1.04854,0.66839,0.01537,0.84875,0.73896,0.76235,0.57913,1.1926,1.00532,0.01857,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,1321.97,1.03319,0.67604,0.01505,0.85791,0.72691,0.76133,0.5693,1.25653,1.09124,0.01982,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
