epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2510.32,0.46802,0.48583,0.30065,0.81485,0.75904,0.8071,0.61434,0.33641,0.48401,0.24221,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2720.82,0.47289,0.49454,0.30461,0.82885,0.77796,0.8096,0.59274,0.34177,0.52185,0.22234,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2928.62,0.464,0.4945,0.29916,0.8602,0.76707,0.80851,0.56781,0.37307,0.53137,0.24753,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3136.62,0.4876,0.48217,0.30008,0.83393,0.77912,0.7944,0.5682,0.34637,0.53067,0.24465,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,175.975,0.51353,0.88496,0.43333,0.85389,0.70413,0.75575,0.53997,0.37634,0.58487,0.2361,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,352.336,0.48033,0.5778,0.34928,0.85828,0.70534,0.77088,0.54115,0.39463,0.56275,0.26025,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,530.127,0.50036,0.54771,0.3418,0.85074,0.75502,0.79404,0.59509,0.3299,0.56451,0.21459,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,705.932,0.47828,0.53696,0.33156,0.86126,0.74297,0.80328,0.60679,0.32291,0.52561,0.22221,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,880.907,0.4585,0.52804,0.30887,0.87739,0.72691,0.80701,0.5765,0.35919,0.53414,0.22006,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1058.42,0.4771,0.52625,0.3126,0.85217,0.74082,0.80079,0.58605,0.33525,0.53315,0.22022,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1235.63,0.48371,0.52335,0.30646,0.85706,0.71888,0.77617,0.51766,0.41221,0.53848,0.23445,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
