epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,23.3109,1.61098,2.82415,1.56988,0.57411,0.53012,0.51653,0.23772,1.71841,2.60451,1.3625,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,41.0954,1.59705,2.12155,1.55934,0.47914,0.54217,0.44215,0.18747,1.94088,2.31798,1.5335,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,57.9615,1.72525,1.85856,1.65201,0.42777,0.5584,0.44317,0.19173,2.02379,2.03766,1.6174,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,74.9155,1.74994,1.7641,1.69514,0.5302,0.61642,0.52345,0.25348,1.97803,1.94699,1.66156,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,91.2991,1.63931,1.60572,1.62427,0.63195,0.65462,0.58059,0.29994,1.89321,1.65062,1.53388,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,107.49,1.56956,1.52336,1.5816,0.70517,0.63052,0.60815,0.31112,1.87975,1.68411,1.45438,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,124.428,1.51621,1.46156,1.53995,0.68195,0.64659,0.64534,0.34778,1.7867,1.56439,1.46137,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,140.929,1.47165,1.41608,1.50589,0.68448,0.68675,0.6498,0.36007,1.74588,1.55017,1.43572,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,157.153,1.42626,1.38855,1.47954,0.70304,0.69407,0.65367,0.36513,1.72143,1.47096,1.38685,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,173.747,1.37477,1.33721,1.46391,0.71628,0.67068,0.65356,0.37236,1.71166,1.48325,1.39631,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,190.273,1.34142,1.31468,1.43499,0.70607,0.70426,0.684,0.37498,1.67832,1.45989,1.37377,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
