epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.1913,1.64523,2.25049,1.57977,0.67556,0.5743,0.60713,0.31071,1.73307,1.63224,1.39934,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,62.9537,1.55346,1.53767,1.52189,0.57755,0.63052,0.57624,0.27819,1.90462,1.68494,1.51012,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,91.3455,1.68315,1.59378,1.60729,0.55313,0.53815,0.52878,0.23206,2.11097,2.24233,1.76029,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,119.359,1.69753,1.60471,1.6571,0.724,0.65316,0.64248,0.3174,1.86534,1.65339,1.49761,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,147.27,1.58872,1.48523,1.5773,0.66126,0.65072,0.61591,0.33904,1.801,1.66607,1.40209,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,175.22,1.52202,1.40688,1.54032,0.72824,0.66725,0.64696,0.35914,1.68231,1.56149,1.3901,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,203.67,1.47195,1.37153,1.50129,0.75471,0.64659,0.66307,0.34875,1.81634,1.52091,1.45613,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,231.166,1.40353,1.32615,1.45934,0.68704,0.67888,0.68671,0.40798,1.62874,1.40992,1.36414,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,258.838,1.35706,1.2495,1.42868,0.74914,0.6988,0.68975,0.40084,1.66396,1.37034,1.33947,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,286.135,1.32757,1.24695,1.42837,0.75828,0.6747,0.6627,0.36669,1.6796,1.3982,1.33005,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
